source_file,Name,CAS,Clean_Name,CC50_raw,CC50_mM,Cell_line,Method,Mw
ammonium.csv,"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octylnonan-1-aminium bromide",1809098-00-7,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLNONAN-1-AMINIUM BROMIDE,0.01217,0.01217,HELF,MTT,646.707
ammonium.csv,"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octyloctan-1-aminium bromide",1809098-02-9,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLOCTAN-1-AMINIUM BROMIDE,0.00298,0.00298,A375,MTT,632.68
ammonium.csv,"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octyloctan-1-aminium bromide",1809098-02-9,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLOCTAN-1-AMINIUM BROMIDE,0.00502,0.00502,BGC-823,MTT,632.68
ammonium.csv,"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octyloctan-1-aminium bromide",1809098-02-9,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLOCTAN-1-AMINIUM BROMIDE,0.00857,0.00857,HepG2,MTT,632.68
ammonium.csv,"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octyloctan-1-aminium bromide",1809098-02-9,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLOCTAN-1-AMINIUM BROMIDE,0.0086,0.0086,HELF,MTT,632.68
ammonium.csv,"N-(2-hydroxyethyl)-N,N-dimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",712355-06-1,N-(2-HYDROXYETHYL)-N N-DIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.99,1.99,4T1-Luc,CellTiter-Blue,426.401
ammonium.csv,"N-(2-hydroxyethyl)-N,N-dimethylbutan-1-aminium bromide",28508-15-8,N-(2-HYDROXYETHYL)-N N-DIMETHYLBUTAN-1-AMINIUM BROMIDE,28.6,28.6,4T1-Luc,CellTiter-Blue,226.158
ammonium.csv,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",854102-72-0,N-(2-HYDROXYETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,3.28,3.28,4T1-Luc,CellTiter-Blue,454.455
ammonium.csv,"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",219787-58-3,N-(2-HYDROXYETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,10.7,10.7,4T1-Luc,CellTiter-Blue,254.212
ammonium.csv,"N-(2-hydroxyethyl)-N,N-dimethyloctan-1-aminium bis((trifluoromethyl)sulfonyl)imide",334529-54-3,N-(2-HYDROXYETHYL)-N N-DIMETHYLOCTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,4.8,4.8,4T1-Luc,CellTiter-Blue,482.509
ammonium.csv,"N-(2-hydroxyethyl)-N,N-dimethyloctan-1-aminium bromide",122135-71-1,N-(2-HYDROXYETHYL)-N N-DIMETHYLOCTAN-1-AMINIUM BROMIDE,1.12,1.12,4T1-Luc,CellTiter-Blue,282.266
ammonium.csv,"N-(cyanomethyl)-N,N-dimethylethanaminium bis((trifluoromethyl)sulfonyl)imide",873056-83-8,N-(CYANOMETHYL)-N N-DIMETHYLETHANAMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,7.3,7.3,IPC-81,WST-1,393.331
ammonium.csv,"N-(cyanomethyl)-N,N-dimethylethanaminium chloride",1533415-57-4,N-(CYANOMETHYL)-N N-DIMETHYLETHANAMINIUM CHLORIDE,>20,20.0,IPC-81,WST-1,148.637
ammonium.csv,"N-(ethoxymethyl)-N,N-dimethylethanaminium bis((trifluoromethyl)sulfonyl)imide",1373334-03-2,N-(ETHOXYMETHYL)-N N-DIMETHYLETHANAMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,6.3,6.3,IPC-81,WST-1,412.374
ammonium.csv,"N-(ethoxymethyl)-N,N-dimethylethanaminium chloride",129073-65-0,N-(ETHOXYMETHYL)-N N-DIMETHYLETHANAMINIUM CHLORIDE,3.9,3.9,IPC-81,WST-1,167.68
ammonium.csv,"N,N,N-triethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",324574-91-6,N N N-TRIETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.51,1.51,NHDF,MTS,438.456
ammonium.csv,"N,N,N-triethylbutan-1-aminium bromide",13028-69-8,N N N-TRIETHYLBUTAN-1-AMINIUM BROMIDE,8,8.0,HeLa,MTT,238.213
ammonium.csv,"N,N,N-triethyloctan-1-aminium bromide",13028-73-4,N N N-TRIETHYLOCTAN-1-AMINIUM BROMIDE,0.33,0.33,HeLa,MTT,294.321
