Name,CAS,Clean_Name,Source_File
"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octylnonan-1-aminium bromide",1809098-00-7,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLNONAN-1-AMINIUM BROMIDE,ammonium.csv
"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-octyloctan-1-aminium bromide",1809098-02-9,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-OCTYLOCTAN-1-AMINIUM BROMIDE,ammonium.csv
"N-(2-hydroxyethyl)-N,N-dimethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",712355-06-1,N-(2-HYDROXYETHYL)-N N-DIMETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-(2-hydroxyethyl)-N,N-dimethylbutan-1-aminium bromide",28508-15-8,N-(2-HYDROXYETHYL)-N N-DIMETHYLBUTAN-1-AMINIUM BROMIDE,ammonium.csv
"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",854102-72-0,N-(2-HYDROXYETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",219787-58-3,N-(2-HYDROXYETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,ammonium.csv
"N-(2-hydroxyethyl)-N,N-dimethyloctan-1-aminium bis((trifluoromethyl)sulfonyl)imide",334529-54-3,N-(2-HYDROXYETHYL)-N N-DIMETHYLOCTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-(2-hydroxyethyl)-N,N-dimethyloctan-1-aminium bromide",122135-71-1,N-(2-HYDROXYETHYL)-N N-DIMETHYLOCTAN-1-AMINIUM BROMIDE,ammonium.csv
"N-(cyanomethyl)-N,N-dimethylethanaminium bis((trifluoromethyl)sulfonyl)imide",873056-83-8,N-(CYANOMETHYL)-N N-DIMETHYLETHANAMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-(cyanomethyl)-N,N-dimethylethanaminium chloride",1533415-57-4,N-(CYANOMETHYL)-N N-DIMETHYLETHANAMINIUM CHLORIDE,ammonium.csv
"N-(ethoxymethyl)-N,N-dimethylethanaminium bis((trifluoromethyl)sulfonyl)imide",1373334-03-2,N-(ETHOXYMETHYL)-N N-DIMETHYLETHANAMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-(ethoxymethyl)-N,N-dimethylethanaminium chloride",129073-65-0,N-(ETHOXYMETHYL)-N N-DIMETHYLETHANAMINIUM CHLORIDE,ammonium.csv
"N,N,N-triethylbutan-1-aminium bis((trifluoromethyl)sulfonyl)imide",324574-91-6,N N N-TRIETHYLBUTAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N,N,N-triethylbutan-1-aminium bromide",13028-69-8,N N N-TRIETHYLBUTAN-1-AMINIUM BROMIDE,ammonium.csv
"N,N,N-triethyloctan-1-aminium bromide",13028-73-4,N N N-TRIETHYLOCTAN-1-AMINIUM BROMIDE,ammonium.csv
