Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
21CR-6 7NI-2 4MO-1 4CU,0.9424401620981424,0.9517138123759753,9.326231058391728e-05,3,
21CR-6NI-9MN,1.0,1.0,0.0,1,S21900
21CR-9NI-3MO-N V,,,0.0,0,
2205,0.9974087512942694,0.9980547542508509,5.564264265492205e-07,4,S31803
22CR-13NI-5MN,0.8770439783937435,0.9374412991599775,0.007295672711478734,2,S20910
254SMO,,,0.0,0,S31254
25CR-22NI-2MO,0.9939982830992363,0.9939982830992363,0.0,1,
26-1,0.9737651807799691,0.9773038373077616,2.504418004337702e-05,2,S44627
26CR-1MO,0.2306988800215415,0.8630825553039733,0.08068259911458596,7,S44627
27CR,0.7725191896008312,0.8841082048691395,0.0249042166571015,2,S44600
29CR-4MO,0.7395451328543522,0.9501526410686889,0.0069239104814987,9,S44700
29CR-4MO-2NI,0.9530907574910641,0.9801387461450147,0.0005888561259935332,3,S44800
2MO-0 4CU STAINLESS STEEL,0.9998914517329706,0.9998914517329706,0.0,1,
3 NICKEL-IRON,0.6910095361682882,0.6910095361682882,0.0,1,
3003-H14,0.999869748162524,0.999869748162524,0.0,1,A93003
3004-H34,0.9998263471021015,0.9998263471021015,0.0,1,A93004
301,0.25,0.8328729281767956,0.06530575319565352,543,S30100
302,0.25,0.8331205015064109,0.0651759519627658,549,S30200
303,0.25,0.7699704142011834,0.08628637622154595,1014,S30300
304,0.21754703824779115,0.8333622754400404,0.056876167212412766,1286,S30400
304L,0.25,0.8327866469452303,0.06462648671048746,556,S30403
304LN,0.25,0.8328729281767956,0.06530575319565352,543,S30453
308,,,0.0,0,S30800
309,0.9989167933168429,0.9989167933168429,0.0,1,S30900
309CB,0.30980021652268125,0.6344441622621699,0.05181004486161061,7,S34700
310,0.28206301094638603,0.5500011870120612,0.09115405910285106,8,S31000
316,0.25,0.8764188317078787,0.042614453267422484,1365,S31600
316 UREA GRADE,0.9348694262147808,0.9484749364173365,0.0003702198157436965,2,
316F,0.25,0.8328729281767956,0.06530575319565352,543,S31620
316L,0.25,0.8640365777987203,0.0548120693708329,587,S31603
316LN,0.25,0.8768315018315018,0.05211819907920826,546,S31653
316TI,0.25,0.8770566727605119,0.052050478467297476,547,S31635
317,0.25,0.8930668377805645,0.03609293555024297,135,S31700
317L,0.25,0.8727634567179328,0.0526213820127753,573,S31703
317LM,,,0.0,0,S31725
317LN,0.25,0.8770566727605119,0.052050478467297476,547,S31725
